N,TotEdge,A,G,E,t_mean,t_sd,edge_mean,edge_sd
6,110,0.7,1,0.7,38.05,10.435138008821824,50.85,6.072153870874728
6,110,0.7,1,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,1,0,0.1,49.85,27.996757331030885,55.15,9.582192914601103
6,110,1,0,0.3,48.65,17.11347576127009,57.7,9.274186019041752
6,110,1,0,0.5,51.75,13.114375398975856,59.2,8.888786549118473
6,110,1,0,0.7,41.6,12.76673308580588,53.75,8.226241707583053
6,110,1,0,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,1,0.3,0.1,67.75,44.93723693283661,55.8,9.955691310686777
6,110,1,0.3,0.3,51.75,19.46352864637913,56.6,7.014271166700073
6,110,1,0.3,0.5,51.55,24.743898769510626,56.4,9.890984730923835
6,110,1,0.3,0.7,40.45,17.09254993141441,51.65,7.610761079585032
6,110,1,0.3,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,1,0.5,0.1,67.45,44.24747985687107,55.3,9.313826733467433
6,110,1,0.5,0.3,51.65,23.229461783193386,56.4,6.459590992429295
6,110,1,0.5,0.5,52.45,23.216316857353853,57.1,9.216118603038003
6,110,1,0.5,0.7,44.05,27.59381128174634,52.25,9.037203806022024
6,110,1,0.5,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,1,0.7,0.1,65.3,44.130309431572265,55.2,9.237224463521155
6,110,1,0.7,0.3,57.65,28.372104535784327,57.7,7.8679897787106166
6,110,1,0.7,0.5,51.55,20.623121924062247,57.5,9.621795433723431
6,110,1,0.7,0.7,42.2,21.967919193319393,52,8.41051972860555
6,110,1,0.7,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,1,1,0.1,54.15,19.47542310870698,53.95,6.311851842701199
6,110,1,1,0.3,54.1,29.242902872680965,56.15,8.880937598676107
6,110,1,1,0.5,49.65,15.536967800090615,55.85,8.511756575466665
6,110,1,1,0.7,39.85,12.950411495189519,52.8,7.878017383500549
6,110,1,1,1,39.65,13.095901327474461,55.85,8.731521842394402
8,210,0,0,0.1,44.95,17.141746517907986,109.45,16.03442021337059
8,210,0,0,0.3,48,11.069160572937484,114.6,10.60486482208693
8,210,0,0,0.5,47.8,12.849738887373713,112.25,13.368757766169837
8,210,0,0,0.7,49.5,20.441186493527177,112.75,16.16648580112248
8,210,0,0,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,0,0.3,0.1,44.95,17.141746517907986,109.45,16.03442021337059
8,210,0,0.3,0.3,48,11.069160572937484,114.6,10.60486482208693
8,210,0,0.3,0.5,47.8,12.849738887373713,112.25,13.368757766169837
8,210,0,0.3,0.7,49.5,20.441186493527177,112.75,16.16648580112248
8,210,0,0.3,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,0,0.5,0.1,44.95,17.141746517907986,109.45,16.03442021337059
8,210,0,0.5,0.3,48,11.069160572937484,114.6,10.60486482208693
8,210,0,0.5,0.5,47.8,12.849738887373713,112.25,13.368757766169837
8,210,0,0.5,0.7,49.5,20.441186493527177,112.75,16.16648580112248
8,210,0,0.5,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,0,0.7,0.1,44.95,17.141746517907986,109.45,16.03442021337059
8,210,0,0.7,0.3,48,11.069160572937484,114.6,10.60486482208693
8,210,0,0.7,0.5,47.8,12.849738887373713,112.25,13.368757766169837
8,210,0,0.7,0.7,49.5,20.441186493527177,112.75,16.16648580112248
8,210,0,0.7,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,0,1,0.1,44.95,17.141746517907986,109.45,16.03442021337059
8,210,0,1,0.3,48,11.069160572937484,114.6,10.60486482208693
8,210,0,1,0.5,47.8,12.849738887373713,112.25,13.368757766169837
8,210,0,1,0.7,49.5,20.441186493527177,112.75,16.16648580112248
8,210,0,1,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,0.3,0,0.1,47.4,15.662224080822453,103.25,16.392793667051578
8,210,0.3,0,0.3,55.85,25.778969396736844,110.85,15.665164168340294
8,210,0.3,0,0.5,51.5,15.79306976593148,110.3,15.005612984901068
8,210,0.3,0,0.7,50.05,27.009696114738617,109.65,18.87430723719974
8,210,0.3,0,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,0.3,0.3,0.1,82.55,47.68700032503617,102.25,14.00328908732366
8,210,0.3,0.3,0.3,74.05,53.26643556588649,108.1,18.951183826374876
8,210,0.3,0.3,0.5,64.05,29.097793369040346,111.85,14.928866421519718
8,210,0.3,0.3,0.7,51.6,19.874342094374107,113.2,16.819787845210616
8,210,0.3,0.3,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,0.3,0.5,0.1,92.8,58.12291875164672,105.25,16.351001900736687
8,210,0.3,0.5,0.3,66.05,31.551920452018866,107.3,16.467192263790192
8,210,0.3,0.5,0.5,66.65,30.305940011819466,113.3,16.02333824210962
8,210,0.3,0.5,0.7,50,17.417474588832665,112.3,15.583729706939458
8,210,0.3,0.5,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,0.3,0.7,0.1,89.1,51.096297115812305,104.3,15.881468843642232
8,210,0.3,0.7,0.3,69.9,37.82772583840143,108.7,18.68323199809757
8,210,0.3,0.7,0.5,63.1,26.01396386153932,111.85,14.26174492904191
8,210,0.3,0.7,0.7,50,17.417474588832665,112.3,15.644403741308029
8,210,0.3,0.7,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,0.3,1,0.1,102.45,72.07413946033188,105.15,16.968314123993764
8,210,0.3,1,0.3,60.2,22.451350914694128,104.6,13.331403369093357
8,210,0.3,1,0.5,60.1,18.945628575089906,110.55,12.462469975680456
8,210,0.3,1,0.7,52.75,19.237778075005387,114.2,17.080613818626443
8,210,0.3,1,1,52.95,17.258026355415343,116.8,15.750020885533353
8,210,0.5,0,0.1,47.4,15.662224080822453,103.25,16.392793667051578
8,210,0.5,0,0.3,55.85,25.778969396736844,110.85,15.665164168340294
8,210,0.5,0,0.5,51.5,15.79306976593148,110.3,15.005612984901068
8,210,0.5,0,0.7,50.05,27.009696114738617,109.65,18.87430723719974
8,210,0.5,0,1,52.95,17.258026355415343,116.8,15.750020885533353
